run_time_utc,tokens_per_run,buy_usd,sell_usd,in_flight_usd,equity_usd,cash_usd,unrealized_pnl_usd,realized_pnl_run_usd,delta_seed_usd,return_pct_vs_seed,peak_equity_usd,drawdown_pct_from_peak,open_positions,buys_count,sells_count,errors_count,run_wall_seconds,error_notes
2026-09-07T14:40:47Z,1200.0,0,0,100.0,200.0,100.0,0.0,0,0.0,0.0,200.0,0.0,5,0,0,0,0.192,
2026-09-07T17:19:05Z,,43.3788,56.8219,103.4504,216.8936,113.4431,0.071732,16.8219,16.8936,8.4468,216.8936,0.0,5,2,2,0,0.74,
2026-09-07T21:07:49Z,,60.8286,49.6984,100.4484,202.7616,102.3131,-0.380038,-13.6802,2.7616,1.3808,216.8936,6.5156,5,3,3,0,0.84,
2026-09-07T23:10:48Z,0.0,0,0,100.3861,202.6992,102.3131,-0.442381,0,2.6992,1.3496,216.8936,6.5444,5,0,0,0,0.687,
2026-09-08T13:45:20Z,,0,0,100.2013,202.5144,102.3131,-0.627187,0,2.5144,1.2572,216.8936,6.6296,5,0,0,1,1.189,mark miss: 0x0099c34859d0b77bac99cc
2026-09-08T17:01:27Z,,0,0,100.146,202.4592,102.3131,-0.682451,0,2.4592,1.2296,216.8936,6.6551,5,0,0,1,1.443,mark miss: 0x0099c34859d0b77bac99cc
2026-09-08T21:05:30Z,,21.6726,34.0605,102.0247,216.7258,114.7011,-0.2002,13.7844,16.7258,8.3629,216.8936,0.0774,5,1,1,1,1.293,mark miss: 0x0099c34859d0b77bac99cc
2026-09-09T16:22:33Z,,0,0,101.2246,215.9257,114.7011,-1.00028,0,15.9257,7.9629,216.8936,0.4462,5,0,0,3,2.425,mark miss: 0x0099c34859d0b77bac99cc; mark miss: 0xcf4cf0cf9882b500180548; mark miss: 0x133d61396fa67f82185dcb
2026-09-09T17:44:29Z,,0,0,102.0167,216.7178,114.7011,-0.208201,0,16.7178,8.3589,216.8936,0.081,5,0,0,3,2.337,mark miss: 0x0099c34859d0b77bac99cc; mark miss: 0xcf4cf0cf9882b500180548; mark miss: 0x133d61396fa67f82185dcb
2026-09-09T21:16:15Z,,0,0,101.6127,216.3137,114.7011,-0.612241,0,16.3137,8.1569,216.8936,0.2673,5,0,0,3,4.753,mark miss: 0x0099c34859d0b77bac99cc; mark miss: 0xcf4cf0cf9882b500180548; mark miss: 0x133d61396fa67f82185dcb
2026-09-10T13:39:49Z,,43.2804,39.716,105.265,216.4018,111.1367,-0.240204,-0.284,16.4018,8.2009,216.8936,0.2267,5,2,2,3,2.383,mark miss: 0x0099c34859d0b77bac99cc; mark miss: 0xcf4cf0cf9882b500180548; mark miss: 0x133d61396fa67f82185dcb
2026-09-10T17:28:14Z,,0,0,104.663,215.7997,111.1367,-0.842209,0,15.7997,7.8999,216.8936,0.5043,5,0,0,3,2.642,mark miss: 0x0099c34859d0b77bac99cc; mark miss: 0xcf4cf0cf9882b500180548; mark miss: 0x133d61396fa67f82185dcb
2026-09-10T21:26:13Z,,43.16,40.3121,107.5109,215.7997,108.2889,-0.602006,-0.2402,15.7997,7.8999,216.8936,0.5043,5,2,2,5,3.562,mark miss: 0x0099c34859d0b77bac99cc; mark miss: 0xcf4cf0cf9882b500180548; mark miss: 0x133d61396fa67f82185dcb; mark miss: 0xa1eba63a9c6490b57dac32; mark miss: 0xbc2411ad32549a7d62055c
2026-09-11T13:54:19Z,,0,0,107.5109,215.7997,108.2889,-0.602006,0,15.7997,7.8999,216.8936,0.5043,5,0,0,5,3.882,mark miss: 0x133d61396fa67f82185dcb; mark miss: 0xa1eba63a9c6490b57dac32; mark miss: 0xbc2411ad32549a7d62055c; mark miss: 0xee5d05fdd0f8dd96299dd9; mark miss: 0xa85e45264f68b269b379d4
2026-09-11T17:18:21Z,,0,0,107.5109,215.7997,108.2889,-0.602006,0,15.7997,7.8999,216.8936,0.5043,5,0,0,5,3.723,mark miss: 0x133d61396fa67f82185dcb; mark miss: 0xa1eba63a9c6490b57dac32; mark miss: 0xbc2411ad32549a7d62055c; mark miss: 0xee5d05fdd0f8dd96299dd9; mark miss: 0xa85e45264f68b269b379d4
2026-09-11T21:39:15Z,,21.58,21.6726,107.4183,215.7997,108.3815,-0.602006,0.0,15.7997,7.8999,216.8936,0.5043,5,1,1,5,4.031,mark miss: 0x133d61396fa67f82185dcb; mark miss: 0xa1eba63a9c6490b57dac32; mark miss: 0xbc2411ad32549a7d62055c; mark miss: 0xee5d05fdd0f8dd96299dd9; mark miss: 0xa85e45264f68b269b379d4
